Date	Sales
16-Jan	850
16-Feb	1550
16-Mar	3990
16-Apr	800
16-May	1200
16-Jun	3700
16-Jul	1954
16-Aug	2852
16-Sep	4350
16-Oct	925
16-Nov	1400
16-Dec	5850
17-Jan	900
17-Feb	1750
17-Mar	3450
17-Apr	1125
17-May	1620
17-Jun	2350
17-Jul	1425
17-Aug	2150
17-Sep	4860
17-Oct	1120
17-Nov	1335
17-Dec	4975
18-Jan	800
18-Feb	1125
18-Mar	3375
18-Apr	1250
18-May	1520
18-Jun	2750
18-Jul	1200
18-Aug	2625
18-Sep	3750
18-Oct	1350
18-Nov	2750
18-Dec	3250
19-Jan	725
19-Feb	625
19-Mar	2275
19-Apr	825
19-May	1025
19-Jun	1750
19-Jul	975
19-Aug	1050
19-Sep	1100
19-Oct	700
19-Nov	900
19-Dec	2150
