Date	Sales
16-Jan	270
16-Feb	270
16-Mar	1860
16-Apr	795
16-May	1600
16-Jun	2145
16-Jul	750
16-Aug	1833
16-Sep	3200
16-Oct	725
16-Nov	900
16-Dec	3875
17-Jan	750
17-Feb	800
17-Mar	2750
17-Apr	715
17-May	1730
17-Jun	2200
17-Jul	1650
17-Aug	1575
17-Sep	3120
17-Oct	850
17-Nov	1875
17-Dec	3300
18-Jan	700
18-Feb	975
18-Mar	2825
18-Apr	1025
18-May	1450
18-Jun	2550
18-Jul	1325
18-Aug	2750
18-Sep	3975
18-Oct	1225
18-Nov	3200
18-Dec	4100
19-Jan	775
19-Feb	900
19-Mar	2175
19-Apr	1050
19-May	1375
19-Jun	2725
19-Jul	1225
19-Aug	1825
19-Sep	1675
19-Oct	1100
19-Nov	1300
19-Dec	3100
